"url","title","instructors","topics","departments","resource_types","year","id","date","level"
"https://ocw.mit.edu/courses/5-111-principles-of-chemical-science-fall-2008/","Principles of Chemical Science","Prof. Catherine Drennan, Dr. Elizabeth Vogel Taylor","Science, Chemistry","Chemistry","Lecture Videos, Exams with Solutions, Lecture Notes","2008","5.111","Fall 2008","Undergraduate"
"https://ocw.mit.edu/courses/3-021j-introduction-to-modeling-and-simulation-spring-2012/","Introduction to Modeling and Simulation","Prof. Markus Buehler, Prof. Jeffrey Grossman","Engineering, Materials Science and Engineering, Systems Engineering, Computational Modeling and Simulation, Science, Physics, Classical Mechanics, Quantum Mechanics","Materials Science and Engineering, Civil and Environmental Engineering, Chemical Engineering, Mathematics, Nuclear Science and Engineering","Problem Sets, Lecture Notes, Lecture Videos","2012","3.021J","Spring 2012","Undergraduate"
"https://ocw.mit.edu/courses/4-367-studio-seminar-in-public-art-spring-2006/","Studio Seminar in Public Art","Prof. Antonio Muntadas","Fine Arts, Architecture, Architectural Design, Art History, Visual Arts","Architecture","Lecture Videos, Projects with Examples","2006","4.367","Spring 2006","Graduate"
"https://ocw.mit.edu/courses/2-003j-dynamics-and-control-i-fall-2007/","Dynamics and Control I","Prof. Nicholas Makris, Prof. Peter So, Prof. Sanjay Sarma, Dr. Yahya Modarres-Sadeghi","Engineering, Mechanical Engineering, Dynamics and Control, Mathematics, Applied Mathematics","Mechanical Engineering, Civil and Environmental Engineering","Lecture Videos, Problem Sets, Exams, Programming Assignments with Examples, Instructor Insights","2007","2.003J","Fall 2007","Undergraduate"
"https://ocw.mit.edu/courses/res-2-002-finite-element-procedures-for-solids-and-structures-spring-2010/","Finite Element Procedures for Solids and Structures","Klaus-Jürgen Bathe","Engineering, Mechanical Engineering, Solid Mechanics, Systems Engineering, Computational Modeling and Simulation, Numerical Simulation","Mechanical Engineering","Lecture Videos","2010","RES.2-002","Spring 2010","Graduate"
"https://ocw.mit.edu/courses/15-356-how-to-develop-breakthrough-products-and-services-spring-2012/","How to Develop Breakthrough Products and Services","Prof. Eric von Hippel","Business, Entrepreneurship, Innovation","Sloan School of Management","Lecture Videos, Lecture Notes, Written Assignments","2012","15.356","Spring 2012","Graduate"
"https://ocw.mit.edu/courses/18-s097-applied-category-theory-january-iap-2019/","Applied Category Theory ","Dr. David I. Spivak, Dr. Brendan Fong","Mathematics, Applied Mathematics, Topology and Geometry","Mathematics","Lecture Videos, Problem Sets, Online Textbook, Instructor Insights","2019","18.S097","January IAP 2019","Undergraduate"
"https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/","Classical Mechanics","Prof. Deepto Chakrabarty, Dr. Peter Dourmashkin, Dr. Michelle Tomasik, Prof. Anna Frebel, Prof. Vladan Vuletic","Science, Physics, Classical Mechanics","Physics","Lecture Videos, Problem Sets, Online Textbook","2016","8.01SC","Fall 2016","Undergraduate"
"https://ocw.mit.edu/courses/24-900-introduction-to-linguistics-spring-2022/","Introduction to Linguistics","Prof. Norvin W. Richards","Humanities, Linguistics","Linguistics and Philosophy","Lecture Videos, Lecture Notes, Written Assignments, Problem Sets","2022","24.900","Spring 2022","Undergraduate"
"https://ocw.mit.edu/courses/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007/","Reflective Practice: An Approach for Expanding Your Learning Frontiers","Prof. Ceasar McDowell, Claudia Canepa, Sebastiao Ferriera","Business, Innovation, Social Science, Psychology","Urban Studies and Planning","Lecture Videos, Lecture Notes, Written Assignments","2007","11.965","January IAP 2007","Graduate"
"https://ocw.mit.edu/courses/5-111sc-principles-of-chemical-science-fall-2014/","Principles of Chemical Science","Prof. Catherine Drennan","Science, Chemistry, Inorganic Chemistry, Organic Chemistry, Physical Chemistry","Chemistry","Lecture Videos, Lecture Notes, Problem Sets with Solutions, Exams with Solutions, Other Video, Instructor Insights","2014","5.111SC","Fall 2014","Undergraduate"
"https://ocw.mit.edu/courses/res-8-005-vibrations-and-waves-problem-solving-fall-2012/","Vibrations and Waves Problem Solving","Prof. Wit Busza","Science, Physics, Classical Mechanics, Electromagnetism","Supplemental Resources","Lecture Videos, Problem Sets, Instructor Insights","2012","RES.8-005","Fall 2012","Undergraduate"
"https://ocw.mit.edu/courses/3-60-symmetry-structure-and-tensor-properties-of-materials-fall-2005/","Symmetry, Structure, and Tensor Properties of Materials","Prof. Bernhardt Wuensch","Engineering, Materials Science and Engineering, Mechanical Engineering, Solid Mechanics","Materials Science and Engineering","Lecture Videos, Problem Sets","2005","3.60","Fall 2005","Graduate"
"https://ocw.mit.edu/courses/res-2-006-girls-who-build-cameras-summer-2016/","Girls Who Build Cameras","Kristen E Railey, Bob Schulein, Olivia Glennon, Leslie Watkins, Alex Lorman, Carol Carveth, Sara James","Energy, Technology, Engineering, Teaching and Education, Curriculum and Teaching","Mechanical Engineering","Lecture Videos, Image Gallery, Lecture Notes, Activity Assignments with Examples, Programming Assignments with Examples, Instructor Insights","2016","RES.2-006","Summer 2016","High School"
"https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/","Artificial Intelligence","Patrick Henry Winston","Engineering, Computer Science, Algorithms and Data Structures, Artificial Intelligence, Theory of Computation","Electrical Engineering and Computer Science","Exams, Lecture Videos, Recitation Videos, Programming Assignments, Instructor Insights","2010","6.034","Fall 2010","Undergraduate"
"https://ocw.mit.edu/courses/6-868j-the-society-of-mind-fall-2011/","The Society of Mind","Prof. Marvin Minsky","Engineering, Computer Science, Artificial Intelligence, Humanities, Philosophy","Electrical Engineering and Computer Science","Lecture Videos, Written Assignments","2011","6.868J","Fall 2011","Graduate"
"https://ocw.mit.edu/courses/21l-432-understanding-television-spring-2003/","Understanding Television","Prof. David Thorburn","Fine Arts, Media Studies, Visual Arts, Film and Video, Humanities, Literature, Drama, Social Science, Anthropology, Cultural Anthropology","Literature","Lecture Videos, Written Assignments","2003","21L.432","Spring 2003","Undergraduate"
"https://ocw.mit.edu/courses/20-219-becoming-the-next-bill-nye-writing-and-hosting-the-educational-show-january-iap-2015/","Becoming the Next Bill Nye: Writing and Hosting the Educational Show","Elizabeth Choe, Jaime Goldstein, Chris Boebel, George Zaidan, Joshua Gunn, Ceri Riley, Dr. Natalie Kuldell","Fine Arts, Media Studies, Digital Media, Visual Arts, Film and Video, Social Science, Communication, Teaching and Education, Curriculum and Teaching, Educational Technology","Biological Engineering","Lecture Videos, Projects with Examples, Instructor Insights","2015","20.219","January IAP 2015","Undergraduate"
"https://ocw.mit.edu/courses/18-03sc-differential-equations-fall-2011/","Differential Equations","Prof. Arthur Mattuck, Prof. Haynes Miller, Dr. Jeremy Orloff, Dr. John Lewis","Mathematics, Differential Equations, Linear Algebra","Mathematics","Lecture Videos, Recitation Videos, Exams with Solutions, Simulations, Lecture Notes, Problem Sets with Solutions","2011","18.03SC","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/res-6-012-introduction-to-probability-spring-2018/","Introduction to Probability","Prof. John Tsitsiklis, Prof. Patrick Jaillet","Engineering, Systems Engineering, Mathematics, Probability and Statistics","Supplemental Resources","Lecture Videos, Lecture Notes","2018","RES.6-012","Spring 2018","Undergraduate"
"https://ocw.mit.edu/courses/res-9-003-brains-minds-and-machines-summer-course-summer-2015/","Brains, Minds and Machines Summer Course","Prof. Tomaso Poggio, Prof. Gabriel Kreiman","Engineering, Computer Science, Artificial Intelligence, Electrical Engineering, Robotics and Control Systems, Health and Medicine, Sensory-Neural Systems, Science, Biology, Neuroscience, Cognitive Science, Social Science, Psychology","Supplemental Resources","Other Video, Lecture Videos, Lecture Notes, Projects, Instructor Insights","2015","RES.9-003","Summer 2015","Graduate"
"https://ocw.mit.edu/courses/6-041sc-probabilistic-systems-analysis-and-applied-probability-fall-2013/","Probabilistic Systems Analysis and Applied Probability","Prof. John Tsitsiklis","Engineering, Systems Engineering, Mathematics, Discrete Mathematics, Probability and Statistics","Electrical Engineering and Computer Science","Lecture Videos, Recitation Videos, Problem Sets with Solutions, Exams with Solutions","2013","6.041SC","Fall 2013","Undergraduate"
"https://ocw.mit.edu/courses/2-087-engineering-math-differential-equations-and-linear-algebra-fall-2014/","Engineering Math: Differential Equations and Linear Algebra","Prof. Daniel Frey, Prof. Gilbert Strang","Engineering, Mechanical Engineering, Mathematics, Applied Mathematics, Differential Equations, Linear Algebra","Mechanical Engineering","Exams, Lecture Videos, Problem Sets, Programming Assignments with Examples","2014","2.087","Fall 2014","Undergraduate"
"https://ocw.mit.edu/courses/24-08j-philosophical-issues-in-brain-science-spring-2009/","Philosophical Issues in Brain Science","Prof. Alex Byrne, Prof. Pawan Sinha","Humanities, Philosophy, Epistemology, Science, Cognitive Science, Social Science, Psychology","Linguistics and Philosophy, Brain and Cognitive Sciences","Exams, Lecture Notes, Lecture Videos, Written Assignments","2009","24.08J","Spring 2009","Undergraduate"
"https://ocw.mit.edu/courses/2-003sc-engineering-dynamics-fall-2011/","Engineering Dynamics","Prof. J. Kim Vandiver, Prof. David Gossard","Engineering, Mechanical Engineering, Solid Mechanics, Science, Physics, Classical Mechanics","Mechanical Engineering, Civil and Environmental Engineering","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Recitation Videos, Lecture Notes","2011","2.003SC","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/res-tll-004-stem-concept-videos-fall-2013/","STEM Concept Videos","Teaching and Learning Laboratory (TLL) , Singapore University of Technology and Design (SUTD) ","Engineering, Mathematics, Calculus, Differential Equations, Science, Chemistry, Physics, Social Science, Communication","Supplemental Resources","Lecture Videos","2013","RES.TLL-004","Fall 2013","Undergraduate"
"https://ocw.mit.edu/courses/8-821-string-theory-and-holographic-duality-fall-2014/","String Theory and Holographic Duality","Prof. Hong Liu","Science, Physics, Particle Physics, Quantum Mechanics, Theoretical Physics","Physics","Lecture Videos, Problem Sets with Solutions, Lecture Notes, Instructor Insights","2014","8.821","Fall 2014","Graduate"
"https://ocw.mit.edu/courses/res-8-007-cosmic-origin-of-the-chemical-elements-fall-2019/","Cosmic Origin of the Chemical Elements ","Prof. Anna Frebel","Science, Chemistry, Organic Chemistry, Physics, Astrophysics","Supplemental Resources","Lecture Videos, Instructor Insights","2019","RES.8-007","Fall 2019","Undergraduate"
"https://ocw.mit.edu/courses/5-07sc-biological-chemistry-i-fall-2013/","Biological Chemistry I","Prof. John Essigmann, Prof. Joanne Stubbe, Dr. Bogdan Fedeles","Science, Biology, Biochemistry","Chemistry","Lecture Videos, Other Video, Problem Sets with Solutions, Lecture Notes, Instructor Insights","2013","5.07SC","Fall 2013","Undergraduate"
"https://ocw.mit.edu/courses/res-10-s95-physics-of-covid-19-transmission-fall-2020/","Physics of COVID-19 Transmission","Prof. Martin Bazant, Dr. Joey Gu, Alex Cohen","Engineering, Chemical Engineering, Health and Medicine, Public Health, Science, Physics","Supplemental Resources, Chemical Engineering","Lecture Videos","2020","RES.10-S95","Fall 2020","Undergraduate"
"https://ocw.mit.edu/courses/18-s191-introduction-to-computational-thinking-fall-2020/","Introduction to Computational Thinking","Prof. Alan Edelman, Prof. David P. Sanders, Grant Sanderson, Dr. James Schloss, Henri Drake","Energy, Climate, Engineering, Computer Science, Algorithms and Data Structures, Computer Design and Engineering, Computer Networks, Mathematics, Applied Mathematics, Computation","Mathematics, Electrical Engineering and Computer Science, Nuclear Science and Engineering","Lecture Videos, Problem Sets, Course Introduction","2020","18.S191","Fall 2020","Undergraduate"
"https://ocw.mit.edu/courses/7-013-introductory-biology-spring-2013/","Introductory Biology","Prof. Hazel Sive, Prof. Tyler Jacks, Dr. Diviya Sinha","Science, Biology, Biochemistry, Cell Biology, Developmental Biology, Genetics, Molecular Biology","Biology","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Instructor Insights","2013","7.013","Spring 2013","Undergraduate"
"https://ocw.mit.edu/courses/18-404j-theory-of-computation-fall-2020/","Theory of Computation","Prof. Michael Sipser","Engineering, Computer Science, Theory of Computation, Mathematics, Computation, Discrete Mathematics","Mathematics, Electrical Engineering and Computer Science","Lecture Videos, Problem Sets, Exams, Lecture Notes, Instructor Insights","2020","18.404J","Fall 2020","Undergraduate, Graduate"
